rank,Driver,Team,lower_bound_s,median_predicted_s,upper_bound_s,actual_median_s,residual_s,abs_error_s,in_range
5,SAR,Williams,84.72617941619262,85.31081173090095,85.31081173090095,94.022,8.711188269099054,8.711188269099054,False
4,RIC,RB,84.77864978087011,85.3059693962571,85.3059693962571,93.98,8.674030603742906,8.674030603742906,False
8,ALB,Williams,85.49227984521936,85.49586549644093,85.99512724578072,93.683,8.18713450355908,8.18713450355908,False
3,HAM,Mercedes,84.71829225036682,85.16518057159192,85.34698376841489,93.306,8.14081942840808,8.14081942840808,False
1,PIA,McLaren,84.56831974464487,84.83086548692239,85.20918687543285,92.776,7.945134513077605,7.945134513077605,False
7,RUS,Mercedes,85.29445764279905,85.48752415830856,85.81995847786568,93.423,7.935475841691442,7.935475841691442,False
9,GAS,Alpine,85.51466365439228,86.00671174563621,86.13852721093485,93.554,7.547288254363792,7.547288254363792,False
6,SAI,Ferrari,84.79352661221517,85.3122776733523,85.3122776733523,92.64,7.327722326647702,7.327722326647702,False
13,ZHO,Sauber,85.82226643529518,86.41357418515804,86.41357418515804,93.703,7.289425814841962,7.289425814841962,False
11,ALO,Aston Martin,86.04981727498131,86.36624177329804,86.44695438441559,93.648,7.281758226701953,7.281758226701953,False
10,STR,Aston Martin,85.85779511122338,86.36222456069797,86.36222456069797,93.635,7.272775439302038,7.272775439302038,False
2,NOR,McLaren,84.8939486701499,85.16435758917686,85.59500015020075,92.0975,6.933142410823137,6.933142410823137,False
12,TSU,RB,86.13391912565996,86.41204942243037,86.53845604024949,93.337,6.924950577569632,6.924950577569632,False
14,BOT,Sauber,86.40076350304638,86.81940361087983,87.04534759627133,93.561,6.741596389120176,6.741596389120176,False
15,LEC,Ferrari,86.8877690465495,87.42301590945956,87.42301590945956,92.3355,4.912484090540431,4.912484090540431,False
16,MAG,Haas,88.14019826817582,88.49204834886876,88.56196121310161,93.148,4.655951651131232,4.655951651131232,False
17,VER,Red Bull,88.65756655388482,88.86527628399728,89.51192924556192,92.4625,3.5972237160027305,3.5972237160027305,False
19,OCO,Alpine,91.02145354366364,91.5160497534336,91.60722183927145,93.585,2.068950246566388,2.068950246566388,False
18,PER,Red Bull,90.95252584353344,91.47861540717804,91.58337105177016,92.645,1.1663845928219558,1.1663845928219558,False
20,HUL,Haas,91.62489835896557,92.3131322504702,92.43189638014148,93.304,0.990867749529798,0.990867749529798,False
