rank,Driver,Team,median_predicted_s,mean_predicted_s,lap_count,std_predicted_s
1,SAI,Ferrari,81.44424,81.38503,49,0.76846683
2,NOR,McLaren,81.658455,81.44719,47,0.9383168
3,LEC,Ferrari,81.837906,81.42837,48,0.9269551
4,PER,Red Bull,81.857956,81.92327,48,0.9233488
5,PIA,McLaren,82.00696,81.66378,45,0.92298365
6,HUL,Haas,82.53997,82.80776,47,0.9449856
7,RUS,Mercedes,82.592964,82.30619,48,0.9316127
8,ALO,Aston Martin,82.647835,82.31634,49,0.84371173
9,BOT,Sauber,82.76999,82.60035,43,0.73496515
10,OCO,Alpine,82.9181,82.78449,45,0.68394476
11,ALB,Williams,82.94058,82.86695,48,0.67105895
12,RIC,RB,82.95724,82.77201,48,0.93571484
13,STR,Aston Martin,82.96042,82.48342,48,0.88803244
14,TSU,RB,82.96523,82.56697,48,0.812278
15,GAS,Alpine,83.00172,82.92675,42,1.1014926
16,MAG,Haas,83.04234,82.75856,45,0.88213766
17,ZHO,Sauber,83.052,82.85423,44,0.7694934
18,HAM,Mercedes,83.1669,83.27096,12,0.47251004
19,VER,Red Bull,83.5853,84.58907,3,2.9387238
