rank,Driver,Team,median_predicted_s,mean_predicted_s,lap_count,std_predicted_s
1,RUS,Mercedes,96.03882,96.26616,46,0.6691205
2,ANT,Mercedes,96.18038,96.21275,47,0.6246592
3,HAM,Ferrari,96.807304,96.80975,46,0.6864866
4,LEC,Ferrari,96.81708,96.93369,48,0.66096604
5,GAS,Alpine,97.15939,97.5561,46,0.7921662
6,BEA,Haas,97.33063,97.62981,45,0.83109945
7,VER,Red Bull,97.571686,97.935524,33,0.86025774
8,HAD,Red Bull,97.94605,98.15087,47,0.50009334
9,LAW,Racing Bulls,98.02518,98.25501,49,0.8521644
10,HUL,Audi,98.181595,98.24672,46,0.929668
11,OCO,Haas,98.33802,98.225105,43,1.0546198
12,COL,Alpine,98.43186,98.231735,46,0.83003366
13,SAI,Williams,98.626236,98.798645,46,0.6339615
14,LIN,Racing Bulls,99.07764,98.53706,45,1.3007143
15,PER,Cadillac,99.857895,99.93557,44,0.5113859
16,BOT,Cadillac,99.88853,100.011444,48,0.6615904
17,ALO,Aston Martin,100.569534,100.59847,24,0.752157
18,STR,Aston Martin,101.25429,101.29795,8,0.39053577
