rank,Driver,Team,median_predicted_s,mean_predicted_s,lap_count,std_predicted_s
1,LEC,Ferrari,96.33975,96.89196,46,1.0934436
2,NOR,McLaren,96.35593,96.58596,46,0.86650664
3,VER,Red Bull,96.506615,96.04058,45,1.2085214
4,HAM,Mercedes,96.55801,97.01508,45,1.8403921
5,PER,Red Bull,96.67746,96.30464,46,1.2337426
6,RUS,Mercedes,96.69168,96.88286,43,1.5861871
7,SAI,Ferrari,96.92312,96.39074,44,1.3719941
8,PIA,McLaren,96.98359,96.84355,44,1.1122978
9,ALO,Aston Martin,97.25548,96.93236,45,1.0416358
10,STR,Aston Martin,97.39355,97.62861,40,1.2112416
11,TSU,RB,97.435074,97.90834,43,1.0342101
12,SAR,Williams,97.76108,97.81198,40,1.7944807
13,BOT,Sauber,97.9883,99.27568,45,4.6431365
14,MAG,Haas,98.253456,98.61562,46,1.1197519
15,GAS,Alpine,98.59674,98.85819,42,1.5448056
16,OCO,Alpine,98.62227,98.70204,42,1.5104897
17,HUL,Haas,98.902176,98.02068,41,1.6214739
18,ZHO,Sauber,99.78427,98.92192,5,1.43815
